epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,9,,,0.25,0.8782795071601868,,
0,19,,,0.5,0.8716702461242676,,
0,29,,,0.625,0.6322686672210693,,
0,39,,,0.5,0.6215705275535583,,
0,49,,,0.5,0.6936329007148743,,
0,59,,,0.75,0.6267718076705933,,
0,69,,,0.75,0.6283919811248779,,
0,79,,,0.5,0.6581369638442993,,
0,89,,,0.75,0.6870219707489014,,
0,99,,,0.5,0.6699600219726562,,
0,109,,,0.75,0.6074631810188293,,
0,119,,,0.375,0.8012509346008301,,
0,129,,,0.625,0.7407559752464294,,
0,139,,,0.625,0.6648029685020447,,
0,149,,,0.625,0.6547386050224304,,
0,159,,,0.75,0.6846115589141846,,
0,169,,,0.875,0.5422604084014893,,
0,179,,,0.625,0.6393191814422607,,
0,189,,,0.625,0.7318846583366394,,
0,199,,,0.75,0.5430029034614563,,
0,209,,,0.5,0.6306169629096985,,
0,219,,,0.125,0.8192509412765503,,
0,229,,,0.625,0.6963775157928467,,
0,239,,,0.25,0.7920085787773132,,
0,249,,,0.625,0.5714668035507202,,
0,259,,,0.75,0.5912024974822998,,
0,269,,,0.625,0.7661210298538208,,
0,279,,,0.75,0.5629391670227051,,
0,289,,,0.875,0.4728719890117645,,
0,299,,,0.75,0.7245157361030579,,
0,309,,,0.5,0.6821585893630981,,
0,319,,,0.75,0.6574538946151733,,
0,329,,,0.375,0.8556575179100037,,
0,339,,,0.5,0.8055875301361084,,
0,349,,,0.5,0.6862576007843018,,
0,359,,,0.375,0.7746725082397461,,
0,369,,,0.625,0.6077294945716858,,
0,379,,,0.75,0.6338937282562256,,
0,389,,,0.75,0.6825917959213257,,
0,399,,,0.75,0.565299391746521,,
0,409,,,0.625,0.7226802110671997,,
0,419,,,0.375,0.811139702796936,,
0,429,,,0.75,0.5584321022033691,,
0,439,,,0.25,0.9791407585144043,,
0,449,,,0.25,0.7466120719909668,,
0,459,,,0.5,0.8222789168357849,,
