epoch,step,train_acc,train_loss,val_acc,val_loss
0,117,,,0.5301654934883118,0.7145342230796814
0,117,0.5206915140151978,60.244224548339844,,
1,235,,,0.5210891366004944,0.7455768585205078
1,235,0.5592043995857239,0.6931867599487305,,
2,353,,,0.5005338788032532,1.037163496017456
2,353,0.5736884474754333,0.6789706945419312,,
3,471,,,0.6313400864601135,0.6556273102760315
3,471,0.6376985907554626,0.6471341848373413,,
4,589,,,0.5923652052879333,1.1462182998657227
4,589,0.7032439112663269,0.5747281312942505,,
5,707,,,0.5403096675872803,1.1174633502960205
5,707,0.7119877338409424,0.5772581100463867,,
6,825,,,0.7226374745368958,0.5514363646507263
6,825,0.7536376714706421,0.49975302815437317,,
7,943,,,0.6831286549568176,0.8146218061447144
7,943,0.7804698944091797,0.46276047825813293,,
8,1061,,,0.532301127910614,1.1331461668014526
8,1061,0.7891469597816467,0.46512895822525024,,
9,1179,,,0.5632674694061279,2.528693914413452
9,1179,0.8219863772392273,0.399642676115036,,
10,1297,,,0.6940736770629883,0.9944756627082825
10,1297,0.8337337970733643,0.37949690222740173,,
11,1415,,,0.7899092435836792,0.45957764983177185
11,1415,0.8555600047111511,0.3389853239059448,,
12,1533,,,0.5910304188728333,0.8215780258178711
12,1533,0.8749165534973145,0.3015574514865875,,
13,1651,,,0.5544580817222595,1.2637232542037964
13,1651,0.8717127442359924,0.29870858788490295,,
14,1769,,,0.6500266790390015,0.8872770667076111
14,1769,0.89460688829422,0.25392159819602966,,
15,1887,,,0.8051254749298096,0.5049611926078796
15,1887,0.9083566665649414,0.22472736239433289,,
16,2005,,,0.6775227189064026,0.7004923820495605
16,2005,0.9199038743972778,0.20201492309570312,,
17,2123,,,0.8622530698776245,0.36335060000419617
17,2123,0.9212388396263123,0.19484689831733704,,
18,2241,,,0.7450613975524902,0.7196008563041687
18,2241,0.93492192029953,0.16500267386436462,,
19,2359,,,0.8988254070281982,0.2770453095436096
19,2359,0.9391937255859375,0.14870455861091614,,
20,2477,,,0.641751229763031,2.144911527633667
20,2477,0.950607419013977,0.12935225665569305,,
21,2595,,,0.6190603375434875,1.9292839765548706
21,2595,0.9519423246383667,0.12662526965141296,,
22,2713,,,0.757074236869812,0.7587913870811462
22,2713,0.9490054845809937,0.12829653918743134,,
