epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,1872,,,,,0.6668446063995361,0.6154434084892273
0,1872,,,0.6120010614395142,0.6541575789451599,,
1,3745,,,,,0.6887346506118774,0.6197152733802795
1,3745,,,0.6731411218643188,0.600547194480896,,
2,5618,,,,,0.692471981048584,0.6103144884109497
2,5618,,,0.6980376243591309,0.5725639462471008,,
3,7491,,,,,0.7819007039070129,0.47761449217796326
3,7491,,,0.7402883172035217,0.5280272960662842,,
4,9364,,,,,0.6676455140113831,0.7888332605361938
4,9364,,,0.7674542665481567,0.4879714846611023,,
5,11237,,,,,0.807794988155365,0.4281459152698517
5,11237,,,0.7889467477798462,0.458082914352417,,
6,13110,,,,,0.7178323268890381,0.6938208341598511
6,13110,,,0.8125083446502686,0.4164963960647583,,
7,14983,,,,,0.8633208870887756,0.3308192193508148
7,14983,,,0.8356027007102966,0.37352612614631653,,
8,16856,,,,,0.8769354224205017,0.29721611738204956
8,16856,,,0.8578293919563293,0.3329596221446991,,
9,18729,,,,,0.872397243976593,0.3061100244522095
9,18729,,,0.8769189715385437,0.29383552074432373,,
10,20602,,,,,0.9012279510498047,0.22634994983673096
10,20602,,,0.8885996341705322,0.2597506046295166,,
11,22475,,,,,0.9076347947120667,0.23116999864578247
11,22475,,,0.9081564545631409,0.22254972159862518,,
12,24348,,,,,0.922851026058197,0.19314037263393402
12,24348,,,0.9167000651359558,0.19961954653263092,,
13,26221,,,,,0.9199146032333374,0.18720993399620056
13,26221,,,0.9319850206375122,0.17173761129379272,,
14,28094,,,,,0.891083836555481,0.24326200783252716
14,28094,,,0.9388599395751953,0.15682503581047058,,
15,29967,,,,,0.9127069115638733,0.19931824505329132
15,29967,,,0.942197322845459,0.1455257683992386,,
16,31840,,,,,0.9140416383743286,0.24286670982837677
16,31840,,,0.9518755674362183,0.12465758621692657,,
17,33713,,,,,0.935664713382721,0.15641920268535614
17,33713,,,0.97129887342453,0.07849131524562836,,
18,35586,,,,,0.9327282309532166,0.17494601011276245
18,35586,,,0.9762381315231323,0.06617166101932526,,
19,37459,,,,,0.9404698610305786,0.16051004827022552
19,37459,,,0.9793752431869507,0.05589151382446289,,
20,39332,,,,,0.9383342266082764,0.1801450550556183
20,39332,,,0.9828460812568665,0.04987694323062897,,
21,41205,,,,,0.9420715570449829,0.17037619650363922
21,41205,,,0.984314501285553,0.04403037950396538,,
22,43078,,,,,0.9321943521499634,0.20908471941947937
22,43078,,,0.9847149848937988,0.04134924337267876,,
23,44951,,,,,0.9348638653755188,0.19947707653045654
23,44951,,,0.9875183701515198,0.03543221950531006,,
24,46824,,,,,0.9378003478050232,0.1796971559524536
24,46824,,,0.9871178865432739,0.03736679628491402,,
25,48697,,,,,0.9375333786010742,0.21137244999408722
25,48697,,,0.9894540309906006,0.02942715957760811,,
26,50570,,,,,0.9444741010665894,0.16772738099098206
26,50570,,,0.9968628883361816,0.014713012613356113,,
27,52443,,,,,0.9412707090377808,0.1864311695098877
27,52443,,,0.997063159942627,0.012082436122000217,,
28,54316,,,,,0.9484784007072449,0.1872437596321106
28,54316,,,0.9969964027404785,0.01058814488351345,,
