epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,1872,,,,,0.6572343707084656,0.6098737120628357
0,1872,,,0.6120678186416626,0.6543787717819214,,
1,3745,,,,,0.6841964721679688,0.5834025740623474
1,3745,,,0.660993218421936,0.6123365163803101,,
2,5618,,,,,0.698344886302948,0.6060133576393127
2,5618,,,0.7015084624290466,0.5709773898124695,,
3,7491,,,,,0.7226374745368958,0.5503571629524231
3,7491,,,0.7314777970314026,0.5392071008682251,,
4,9364,,,,,0.7957821488380432,0.44695937633514404
4,9364,,,0.7661193609237671,0.4925960898399353,,
5,11237,,,,,0.8152696490287781,0.41171297430992126
5,11237,,,0.7947537302970886,0.44413572549819946,,
6,13110,,,,,0.8537106513977051,0.351278692483902
6,13110,,,0.817314088344574,0.4044380187988281,,
7,14983,,,,,0.8352909684181213,0.3681930601596832
7,14983,,,0.8454812169075012,0.3536691665649414,,
8,16856,,,,,0.8854778409004211,0.2746509313583374
8,16856,,,0.8657054901123047,0.3079925775527954,,
9,18729,,,,,0.9033635854721069,0.24519607424736023
9,18729,,,0.8907355666160583,0.26307064294815063,,
10,20602,,,,,0.8998932242393494,0.24601750075817108
10,20602,,,0.9069550037384033,0.22899077832698822,,
11,22475,,,,,0.8758676052093506,0.2700156569480896
11,22475,,,0.9213722944259644,0.19493290781974792,,
12,24348,,,,,0.935664713382721,0.1684507131576538
12,24348,,,0.9281137585639954,0.180451899766922,,
13,26221,,,,,0.8705285787582397,0.3174038529396057
13,26221,,,0.939393937587738,0.15108546614646912,,
14,28094,,,,,0.9004271030426025,0.2492210566997528
14,28094,,,0.9455346465110779,0.1415031999349594,,
15,29967,,,,,0.9268553256988525,0.1891889125108719
15,29967,,,0.9495394229888916,0.12819303572177887,,
16,31840,,,,,0.9380672574043274,0.15127038955688477
16,31840,,,0.9535442590713501,0.11684851348400116,,
17,33713,,,,,0.9068339467048645,0.236949160695076
17,33713,,,0.9601522088050842,0.10537531971931458,,
18,35586,,,,,0.941537618637085,0.15063251554965973
18,35586,,,0.9625550508499146,0.09426721930503845,,
19,37459,,,,,0.9383342266082764,0.15366649627685547
19,37459,,,0.9658923745155334,0.08836185932159424,,
20,39332,,,,,0.9452749490737915,0.15396979451179504
20,39332,,,0.9692297577857971,0.08173815906047821,,
21,41205,,,,,0.9207154512405396,0.21588608622550964
21,41205,,,0.9735015630722046,0.07277382165193558,,
22,43078,,,,,0.9439402222633362,0.1443151980638504
22,43078,,,0.9737685322761536,0.07009634375572205,,
23,44951,,,,,0.9337960481643677,0.1728370636701584
23,44951,,,0.9754371643066406,0.06689414381980896,,
24,46824,,,,,0.9412707090377808,0.14438174664974213
24,46824,,,0.9784408211708069,0.05742112547159195,,
25,48697,,,,,0.9508809447288513,0.1387215405702591
25,48697,,,0.9921239018440247,0.026236023753881454,,
26,50570,,,,,0.9503470659255981,0.15960188210010529
26,50570,,,0.9935923218727112,0.019860850647091866,,
27,52443,,,,,0.9495461583137512,0.15472029149532318
27,52443,,,0.9940595626831055,0.016827164217829704,,
28,54316,,,,,0.9471436142921448,0.1558966338634491
28,54316,,,0.9945935010910034,0.019066451117396355,,
29,56189,,,,,0.949012279510498,0.15008369088172913
29,56189,,,0.9937925338745117,0.019455136731266975,,
30,58062,,,,,0.9524826407432556,0.1372600942850113
30,58062,,,0.9987985491752625,0.006669322494417429,,
31,59935,,,,,0.955686092376709,0.1379324495792389
31,59935,,,0.9994660019874573,0.004636526107788086,,
32,61808,,,,,0.9559530019760132,0.15066179633140564
32,61808,,,0.9985315799713135,0.005322670564055443,,
33,63681,,,,,0.9564869403839111,0.13915932178497314
33,63681,,,0.9993325471878052,0.0037382824812084436,,
34,65554,,,,,0.9516817927360535,0.15083226561546326
34,65554,,,0.9988653063774109,0.004874116275459528,,
35,67427,,,,,0.9570208191871643,0.14980682730674744
35,67427,,,0.9995327591896057,0.003042425261810422,,
36,69300,,,,,0.9535504579544067,0.16475728154182434
36,69300,,,0.9987985491752625,0.004621585365384817,,
37,71173,,,,,0.9532834887504578,0.15037737786769867
37,71173,,,0.9986650943756104,0.004520445596426725,,
38,73046,,,,,0.9540843367576599,0.15626829862594604
38,73046,,,0.9989988207817078,0.0045472607016563416,,
39,74919,,,,,0.9471436142921448,0.19376948475837708
39,74919,,,0.9997997879981995,0.0020945302676409483,,
